"notation","title","description","id"
"1","Leitidee Zahl und Operation","","t6h"
"1.1","Zahldarstellungen und Zahlbeziehungen verstehen","","q2r"
"1.1.1","erkennen, erklären und nutzen den Aufbau des dezimalen Stellenwertsystems (z. B. Bündelungsprinzip, Stellenwertprinzip),","","f5x"
"1.1.2","stellen Zahlen bis 1 000 000 auf verschiedene Weise dar (z. B. Anschauungsmittel, Stufenschrift, Stellenwerttabelle, Zifferndarstellung) und setzen diese zueinander in Beziehung,","","b2r"
"1.1.3","orientieren sich im Zahlenraum bis 1 000 000 (z. B. Zahlen der Größe nach ordnen, Nachbarzahlen bestimmen).","","t7v"
"1.2","Rechenoperationen verstehen und beherrschen","","z2d"
"1.2.1","verfügen über ein Operationsverständnis zu den vier Grundrechenarten und erkennen und nutzen die Zusammenhänge zwischen den Operationen,","","x7y"
"1.2.2","beherrschen die Grundaufgaben des Kopfrechnens (u. a. Zahlzerlegungen, Eins-pluseins, Einmaleins) gedächtnismäßig und leiten deren Umkehrungen sicher ab,","","e9u"
"1.2.3","übertragen die Grundaufgaben des Kopfrechnens auf analoge Aufgaben im Zahlenraum bis zur Million,","","e2q"
"1.2.4","verstehen mündliche und halbschriftliche Rechenstrategien zu den vier Grundrechenarten und setzen diese flexibel ein,","","q3h"
"1.2.5","beschreiben, vergleichen und bewerten verschiedene Rechenwege^ finden, erklären und berichtigen Rechenfehler,","","g5g"
"1.2.6","erkennen, erklären und nutzen Rechengesetze (z. B. Kommutativgesetz: Tauschaufgaben),","","a5v"
"1.2.7","verstehen schriftliche Verfahren der Addition, Subtraktion und Multiplikation, beschreiben den Algorithmus, führen diesen geläufig aus und wenden ihn bei geeigneten Aufgaben an,","","c7u"
"1.2.8","kontrollieren Lösungen durch geeignete Vorgehensweisen (z. B. Überschlagsrechnung, Umkehroperation).","","f3p"
"1.3","Rechenoperationen in Kontexten anwenden","","s7c"
"1.3.1","wenden bei Sachaufgaben Rechenoperationen an und beschreiben die Beziehungen zwischen der Sache und den einzelnen Lösungsschritten,","","x2q"
"1.3.2","runden und überschlagen sachadäquat.","","r6x"
"2","Leitidee Größen und Messen","","q5f"
"2.1","Über Größenvorstellungen verfügen","","y6q"
"2.1.1","vergleichen und ordnen Größen (Geldwerte, Längen, Zeitspannen, Massen, Flächeninhalte und Volumina),","","r4a"
"2.1.2","kennen Standardeinheiten (zu Geldwerten, Längen, Zeitspannen, Hohlmaßen und zur Masse) und setzen diese im jeweiligen Größenbereich zueinander in Beziehung,","","v2g"
"2.1.3","entwickeln und nutzen Vorstellungen über Repräsentanten für Standardeinheiten und im Alltag bedeutsame Größen (z. B. Höhe der Tür, Dauer der Schulstunde),","","b7u"
"2.1.4","kennen und verstehen im Alltag gebräuchliche einfache Brüche im Zusammenhang mit Größen (z. B. 1/2 m, Dreiviertelstunde, 1/4 l).","","r9b"
"2.2","Größen messen und Maßangaben bestimmen","","x4p"
"2.2.1","verstehen und nutzen (u. a. Flächeninhalte durch Auslegen mit Einheitsquadraten, Rauminhalte durch Messen mit Einheitswürfeln) das Grundprinzip des Messens (nicht-standardisierte und standardisierte Einheitsmaße auswählen, wiederholt nutzen und ggf. in Beziehung zu Untereinheiten setzen),","","x2f"
"2.2.2","messen Längen, Zeitspannen, Massen und Hohlmaße mit geeigneten Einheiten und unterschiedlichen Messgeräten sachgerecht,","","x3y"
"2.2.3","benennen Größenangaben mit verschiedenen Einheiten und stellen diese in unterschiedlichen Schreibweisen (z. B. 2,5 km | 2500 m | 2 km 500 m) dar.","","f3r"
"2.3","Mit Größen in Kontexten umgehen","","c5p"
"2.3.1","schätzen Größen sachadäquat und mit Bezug zu geeigneten Repräsentanten,","","d2a"
"2.3.2","rechnen in Sachsituationen angemessen mit Näherungswerten und prüfen Ergebnisse auf Plausibilität,","","c9f"
"2.3.3","lösen Sachaufgaben mit Größen.","","x3h"
"3","Leitidee Muster, Strukturen und funktionaler Zusammenhang","","s3g"
"3.1","Gesetzmäßigkeiten erkennen, beschreiben und darstellen","","c7b"
"3.1.1","verstehen und nutzen Strukturen in arithmetischen und geometrischen Darstellungen (z. B. in Zahldarstellungen, Anschauungsmitteln) verstehen und nutzen","","y5s"
"3.1.2","erkennen und beschreiben Strukturen in geometrischen und arithmetischen Mustern (z. B. Zahlenfolgen, Pentominos) und nutzen diese in mathematischen Kontexten (z. B. Verschlüsselungen),","","u6f"
"3.1.3","erkennen, stellen Gleichheit von mathematischen Ausdrücken dar und nutzen diese (z. B. Zahlen durch verschiedene Terme ausdrücken, Terme vergleichen).","","a9h"
"3.2","Funktionale Beziehungen erkennen, beschreiben und darstellen","","v5y"
"3.2.1","erkennen und beschreiben funktionale Beziehungen in Sachsituationen (z. B. Menge - Preis),","","v6v"
"3.2.2","erkennen, beschreiben und stellen funktionale Beziehungen in Tabellen dar,","","g7h"
"3.2.3","lösen Sachaufgaben zu funktionalen Zusammenhängen (z. B. Proportionalität).","","g7q"
"4","Leitidee Raum und Form","","f5b"
"4.1","Über räumliches Vorstellungsvermögen verfügen","","g2v"
"4.1.1","orientieren sich im Raum (z. B. Wege, Pläne, Ansichten),","","g4q"
"4.1.2","erkennen, beschreiben und nutzen (z. B. zwei- und dreidimensionale Darstellungen zueinander in Beziehung setzen, wie Bauplan und Bauwerk, Körper und Netz) räumliche Beziehungen,","","x9g"
"4.1.3","operieren (z. B. zerlegen, falten, drehen, spiegeln, bauen) mit geometrischen Objekten gedanklich.","","e9q"
"4.2","Geometrische Figuren erkennen, benennen und darstellen","","a9r"
"4.2.1","klassifizieren Körper und ebene Figuren nach Eigenschaften, ordnen Fachbegriffe zu und beschreiben Beziehungen zwischen geometrischen Figuren (z. B. Quadrat und Rechteck),","","r6r"
"4.2.2","erkennen Körper und ebene Figuren in der Umwelt wieder,","","a5x"
"4.2.3","stellen Modelle von Körpern (Vollmodelle, Flächenmodelle, Kantenmodelle) und ebenen Figuren her und untersuchen (z. B. bauen, legen, zerlegen, zusammenfügen, ausschneiden, falten) diese, auch unter Nutzung digitaler Werkzeuge,","","v9y"
"4.2.4","untersuchen und vergleichen ebene Figuren und Körper untersuchen und vergleichen (ebene Figuren auch hinsichtlich des Umfangs und Flächeninhalts, Körper auch hinsichtlich des Rauminhalts),","","g3t"
"4.2.5","fertigen Zeichnungen geometrischer Figuren mit und ohne Hilfsmittel an, auch unter Nutzung digitaler Werkzeuge.","","b7e"
"4.3","Geometrische Abbildungen erkennen, benennen und darstellen","","t3t"
"4.3.1","bilden ebene Figuren geometrisch ab (verkleinern, vergrößern und spiegeln),","","d9e"
"4.3.2","erkennen und beschreiben Eigenschaften der Achsensymmetrie und setzen diese mit der Achsenspiegelung in Beziehung,","","y6u"
"4.3.3","erkennen und beschreiben geometrische Abbildungen in der Umwelt oder in Mustern (z. B. in Bandornamenten).","","v7d"
"5","Leitidee Daten und Zufall","","c4g"
"5.1","Mit Daten umgehen","","e3b"
"5.1.1","planen  einfache Befragungen und erfassen und strukturieren bei Beobachtungen, Untersuchungen und einfachen Experimenten Daten,","","b7a"
"5.1.2","stellen Daten in Tabellen, Schaubildern und Diagrammen dar, auch unter Nutzung digitaler Werkzeuge, und entnehmen Informationen aus Tabellen, Schaubildern und Diagrammen,","","v9e"
"5.1.3","interpretieren  Darstellungen von Daten und reflektieren diese kritisch,","","h6p"
"5.1.4","lösen einfache kombinatorische Fragestellungen durch systematisches Vorgehen (z. B. systematisches Probieren) oder mit Hilfe von heuristischen Hilfsmitteln (z. B. Skizze, Baumdiagramm, Tabelle).","","g9x"
"5.2","Ereignisse bei Zufallsexperimenten untersuchen","","v5f"
"5.2.1","kennen und nutzen Grundbegriffe zur Beschreibung von Zufallsereignissen (sicher, möglich, unmöglich),","","q4q"
"5.2.2","schätzen Chancen für das Eintreten von Ereignissen bei alltäglichen Phänomenen oder einfachen Zufallsexperimenten ein und vergleichen (z. B. ist wahrscheinlicher als, hat größere Chancen als) diese datenbasiert.","","c5f"
