"notation","title","description","id"
"1","Mathematisch argumentieren","","v9q"
"1.1","hinterfragen mathematische Aussagen und prüfen diese auf Korrektheit,","","p9d"
"1.2","stellen Vermutungen zu mathematischen Zusammenhängen auf,","","v2b"
"1.3","formulieren Begründungen und vollziehen Begründungen anderer nach.","","a2b"
"2","Mathematisch kommunizieren ","","y6v"
"2.1","beschreiben und erklären (auch unter Nutzung geeigneter Medien) Überlegungen zu mathematischen Sachverhalten, Lösungswege und Ergebnisse adressatengerecht,","","f6u"
"2.2","erläutern mathematische Zusammenhänge,","","f7r"
"2.3","vollziehen Lösungen und Lösungswege anderer nach, hinterfragen und entwickeln diese gemeinsam weiter.","","b2f"
"3","Probleme mathematisch lösen","","t6d"
"3.1","entwickeln Lösungsideen zu Aufgaben, zu denen bislang keine Lösungsroutinen bekannt sind,","","e2t"
"3.2","entwickeln Lösungsstrategien (z. B. systematisches Probieren, Analogien nutzen), wählen heuristische Hilfsmittel aus und nutzen diese (z. B. Tabellen),","","h5v"
"3.3","überdenken Vorgehensweisen und passen diese gegebenenfalls an.","","y2b"
"4","Mathematisch modellieren","","q7p"
"4.1","entnehmen die für die mathematische Bearbeitung einer Fragestellung relevanten Informationen u. a. aus Texten, Darstellungen, der Lebenswirklichkeit,","","b6b"
"4.2","übersetzen Sachprobleme in die Sprache der Mathematik und prüfen und interpretieren die mathematische Lösung in Bezug auf die Ausgangssituation,","","x3h"
"4.3","formulieren zu Termen, Gleichungen und bildlichen Darstellungen Sachaufgaben.","","a6q"
"5","Mathematisch darstellen","","v5v"
"5.1","wählen geeignete Darstellungsformen für das Bearbeiten mathematischer Fragestellungen aus und nutzen und entwickeln diese,","","g6e"
"5.2","übertragen eine Darstellungsform in eine andere,","","t6b"
"5.3","vergleichen Darstellungsformen miteinander und bewerten diese.","","z7y"
"6","Mit mathematischen Objekten und Werkzeugen arbeiten","","p5z"
"6.1","übersetzen symbolische und formale Sprache in Alltagssprache und umgekehrt,","","h2f"
"6.2","verwenden mathematische Fachbegriffe und Zeichen sachgerecht,","","h9v"
"6.3","verwenden mathematische Objekte (z. B. Zahldarstellungen, Terme, Ecken, Kanten, Tabellen, Diagramme) bei der Bearbeitung mathematischer Aufgaben- und Problemstellungen sicher und flexibel,","","h4v"
"6.4","setzen mathematische Werkzeuge (z. B. Zeichenwerkzeuge, digitale Werkzeuge) sachgerecht ein.","","f5a"
